session_id,user_id,content_id,watch_date,watch_duration_minutes,completion_percentage,device_type,quality_level
S000001,U0001,S001,2024-02-16,9,18.8,Desktop,4K
S000002,U0001,M110,2024-08-06,30,23.6,Smart TV,SD
S000003,U0001,S005,2024-03-20,18,65.3,Desktop,4K
S000004,U0001,M105,2024-02-24,77,74.4,Mobile,HD
S000005,U0001,M148,2024-08-18,47,30.1,Smart TV,4K
S000006,U0001,M015,2024-01-08,59,33.5,Smart TV,SD
S000007,U0001,M038,2024-05-26,101,63.0,Mobile,SD
S000008,U0001,M043,2024-05-17,118,88.5,Mobile,HD
S000009,U0001,S024,2024-08-25,14,31.1,Tablet,HD
S000010,U0001,M021,2024-07-20,109,74.0,Smart TV,SD
S000011,U0001,S031,2024-04-11,51,86.7,Desktop,4K
S000012,U0001,S065,2024-05-09,28,65.3,Smart TV,HD
S000013,U0001,M164,2024-03-21,124,90.8,Tablet,4K
S000014,U0001,M131,2024-07-20,177,100.0,Smart TV,HD
S000015,U0001,M164,2024-05-18,137,100.0,Tablet,4K
S000016,U0001,M173,2024-05-28,40,24.6,Smart TV,4K
S000017,U0001,M191,2024-01-09,87,63.4,Mobile,HD
S000018,U0001,M187,2024-01-13,145,93.5,Mobile,SD
S000019,U0001,S038,2024-03-11,43,83.1,Desktop,4K
S000020,U0001,M001,2024-05-04,84,47.1,Mobile,HD
S000021,U0001,M074,2024-04-01,35,24.2,Smart TV,HD
S000022,U0001,M190,2024-04-19,66,56.0,Desktop,HD
S000023,U0001,M103,2024-05-06,150,96.4,Mobile,HD
S000024,U0001,S047,2024-01-25,30,51.8,Mobile,HD
S000025,U0001,M128,2024-01-11,76,54.0,Tablet,4K
S000026,U0001,S084,2024-06-13,36,69.5,Mobile,HD
S000027,U0001,M141,2024-02-25,98,67.3,Mobile,HD
S000028,U0001,S071,2024-02-15,29,80.9,Mobile,HD
S000029,U0001,M178,2024-03-01,87,52.0,Mobile,SD
S000030,U0002,M021,2024-08-01,135,91.8,Gaming Console,SD
S000031,U0002,S098,2024-01-19,53,93.4,Tablet,HD
S000032,U0002,M142,2024-03-07,68,40.2,Desktop,HD
S000033,U0002,M127,2024-08-04,167,93.8,Mobile,HD
S000034,U0002,S065,2024-02-26,25,57.6,Mobile,SD
S000035,U0002,M025,2024-05-18,162,100.0,Gaming Console,HD
S000036,U0002,S090,2024-06-21,39,80.6,Mobile,HD
S000037,U0002,M200,2024-07-25,68,56.0,Tablet,HD
S000038,U0002,S031,2024-07-14,59,100.0,Mobile,HD
S000039,U0002,M085,2024-07-27,150,100.0,Smart TV,SD
S000040,U0002,M113,2024-06-07,147,85.0,Desktop,4K
S000041,U0002,M103,2024-06-24,149,95.7,Mobile,HD
S000042,U0002,S002,2024-05-17,12,60.0,Mobile,HD
S000043,U0002,M156,2024-07-12,125,71.6,Smart TV,4K
S000044,U0002,M120,2024-04-05,95,92.0,Smart TV,HD
S000045,U0002,M139,2024-04-16,119,93.0,Mobile,4K
S000046,U0002,M098,2024-03-28,113,79.6,Desktop,SD
S000047,U0002,M059,2024-02-06,133,91.7,Smart TV,HD
S000048,U0002,M166,2024-03-27,144,93.1,Smart TV,4K
S000049,U0002,M175,2024-06-20,122,88.6,Tablet,HD
S000050,U0002,M176,2024-06-01,163,100.0,Desktop,HD
S000051,U0002,S069,2024-08-17,49,100.0,Smart TV,4K
S000052,U0002,M198,2024-06-17,19,20.5,Desktop,HD
S000053,U0002,M124,2024-08-12,119,79.2,Mobile,SD
S000054,U0002,S088,2024-04-09,26,45.5,Desktop,HD
S000055,U0002,M105,2024-07-19,75,72.2,Tablet,HD
S000056,U0002,M152,2024-03-25,140,91.6,Tablet,HD
S000057,U0002,M090,2024-05-10,29,34.8,Mobile,HD
S000058,U0002,S074,2024-05-28,45,96.6,Tablet,4K
S000059,U0002,S086,2024-06-21,55,97.2,Desktop,4K
S000060,U0002,M006,2024-03-12,115,73.6,Smart TV,HD
S000061,U0002,M153,2024-03-03,157,87.9,Smart TV,HD
S000062,U0002,S030,2024-08-31,58,100.0,Tablet,SD
S000063,U0002,M093,2024-08-11,87,100.0,Gaming Console,HD
S000064,U0002,M172,2024-05-14,86,61.3,Desktop,4K
S000065,U0002,S004,2024-05-20,45,79.3,Smart TV,4K
S000066,U0002,S005,2024-02-07,15,55.0,Smart TV,HD
S000067,U0002,M095,2024-02-27,93,71.4,Tablet,4K
S000068,U0002,M162,2024-05-26,116,100.0,Gaming Console,HD
S000069,U0002,M101,2024-08-20,127,83.7,Tablet,HD
S000070,U0002,M075,2024-06-28,101,80.8,Mobile,HD
S000071,U0002,M015,2024-04-16,63,36.0,Mobile,SD
S000072,U0002,S093,2024-07-07,47,100.0,Smart TV,4K
S000073,U0002,M090,2024-08-13,81,95.3,Smart TV,HD
S000074,U0002,S052,2024-06-25,37,68.8,Smart TV,4K
S000075,U0002,S011,2024-03-01,38,97.8,Desktop,HD
S000076,U0002,M063,2024-08-20,94,91.2,Tablet,HD
S000077,U0002,M028,2024-04-29,52,30.3,Mobile,SD
S000078,U0003,S005,2024-03-06,27,93.5,Smart TV,HD
S000079,U0003,M061,2024-04-04,85,86.4,Desktop,4K
S000080,U0003,S022,2024-02-12,8,22.3,Smart TV,HD
S000081,U0003,M077,2024-07-23,66,66.3,Mobile,SD
S000082,U0003,M176,2024-01-21,163,100.0,Mobile,SD
S000083,U0003,M167,2024-02-07,116,81.7,Smart TV,HD
S000084,U0003,M162,2024-01-22,111,96.4,Smart TV,HD
S000085,U0003,M188,2024-04-05,19,17.3,Mobile,HD
S000086,U0003,S091,2024-05-05,19,70.6,Gaming Console,SD
S000087,U0003,S058,2024-06-02,57,100.0,Smart TV,SD
S000088,U0003,M009,2024-06-05,52,58.5,Desktop,SD
S000089,U0003,M174,2024-01-08,44,55.4,Mobile,HD
S000090,U0003,M127,2024-03-25,102,57.4,Smart TV,HD
S000091,U0003,M167,2024-01-14,137,97.0,Smart TV,HD
S000092,U0003,S097,2024-06-18,6,16.3,Mobile,SD
S000093,U0003,M195,2024-03-14,90,89.3,Mobile,SD
S000094,U0003,M097,2024-01-07,131,100.0,Smart TV,4K
S000095,U0004,M132,2024-03-15,100,95.0,Smart TV,HD
S000096,U0004,M021,2024-08-28,145,98.3,Mobile,HD
S000097,U0004,M154,2024-03-19,77,95.6,Smart TV,HD
S000098,U0004,M046,2024-02-13,79,54.1,Mobile,HD
S000099,U0004,S055,2024-03-10,59,100.0,Smart TV,HD
S000100,U0004,M029,2024-06-23,123,100.0,Mobile,HD
S000101,U0004,M191,2024-07-12,126,91.7,Smart TV,4K
S000102,U0004,M182,2024-08-06,149,83.3,Smart TV,HD
S000103,U0004,S100,2024-02-12,35,91.5,Mobile,HD
S000104,U0004,M060,2024-06-30,122,100.0,Smart TV,4K
S000105,U0004,M041,2024-05-25,117,100.0,Tablet,4K
S000106,U0004,M174,2024-06-27,66,82.6,Smart TV,HD
S000107,U0004,M192,2024-02-23,133,94.7,Mobile,HD
S000108,U0004,M047,2024-05-20,110,92.0,Tablet,4K
S000109,U0004,S008,2024-08-19,23,82.3,Desktop,HD
S000110,U0004,M200,2024-08-29,100,82.2,Desktop,SD
S000111,U0004,M046,2024-08-02,87,59.3,Desktop,HD
S000112,U0004,M107,2024-06-30,91,100.0,Smart TV,SD
S000113,U0004,S044,2024-06-03,36,78.9,Smart TV,HD
S000114,U0004,M034,2024-05-20,138,91.7,Smart TV,HD
S000115,U0005,S037,2024-03-20,34,88.4,Mobile,HD
S000116,U0005,M169,2024-08-03,111,71.1,Mobile,SD
S000117,U0005,S032,2024-08-09,21,59.0,Smart TV,HD
S000118,U0005,M147,2024-01-31,78,84.9,Smart TV,4K
S000119,U0005,S051,2024-01-07,20,89.7,Smart TV,HD
S000120,U0005,S059,2024-08-31,20,76.5,Smart TV,4K
S000121,U0005,M040,2024-07-19,125,73.4,Smart TV,SD
S000122,U0005,M053,2024-06-17,161,99.6,Smart TV,SD
S000123,U0005,S059,2024-04-09,25,94.4,Gaming Console,SD
S000124,U0005,M064,2024-07-14,76,68.0,Mobile,HD
S000125,U0005,S002,2024-08-08,16,83.3,Smart TV,HD
S000126,U0005,M048,2024-01-30,102,99.0,Desktop,4K
S000127,U0005,M084,2024-06-04,111,78.9,Smart TV,HD
S000128,U0005,M026,2024-07-17,133,81.7,Smart TV,HD
S000129,U0005,S017,2024-05-06,9,25.6,Mobile,SD
S000130,U0005,M153,2024-06-21,168,94.2,Tablet,HD
S000131,U0005,S071,2024-06-28,35,96.6,Tablet,4K
S000132,U0005,M005,2024-02-21,149,88.3,Desktop,HD
S000133,U0005,S038,2024-07-31,39,76.9,Gaming Console,SD
S000134,U0005,S096,2024-01-16,32,53.4,Mobile,HD
S000135,U0005,M195,2024-01-14,101,100.0,Mobile,SD
S000136,U0005,S009,2024-07-17,31,82.0,Tablet,SD
S000137,U0005,M025,2024-03-29,148,92.0,Mobile,SD
S000138,U0005,S057,2024-04-30,20,87.5,Mobile,SD
S000139,U0005,M059,2024-07-25,137,94.0,Smart TV,HD
S000140,U0005,M150,2024-05-01,16,13.9,Mobile,SD
S000141,U0005,M162,2024-04-30,111,96.2,Smart TV,HD
S000142,U0005,M061,2024-08-19,93,94.2,Mobile,HD
S000143,U0005,M119,2024-04-28,138,100.0,Mobile,HD
S000144,U0005,S018,2024-05-31,5,14.9,Mobile,HD
S000145,U0005,S070,2024-05-29,48,88.9,Mobile,SD
S000146,U0005,M034,2024-07-23,140,93.1,Mobile,SD
S000147,U0005,S086,2024-02-08,45,80.5,Smart TV,HD
S000148,U0005,M023,2024-08-20,129,87.9,Mobile,HD
S000149,U0005,S011,2024-06-26,36,94.6,Mobile,HD
S000150,U0005,M077,2024-06-23,95,94.3,Smart TV,4K
S000151,U0005,S034,2024-07-27,22,82.0,Tablet,4K
S000152,U0005,M176,2024-05-25,163,100.0,Smart TV,HD
S000153,U0005,M132,2024-01-31,87,82.8,Smart TV,HD
S000154,U0005,M129,2024-04-12,80,73.8,Smart TV,4K
S000155,U0005,S005,2024-07-02,20,71.5,Tablet,SD
S000156,U0005,M167,2024-07-18,138,97.6,Mobile,HD
S000157,U0005,M180,2024-03-12,96,58.4,Smart TV,4K
S000158,U0005,M137,2024-06-17,107,86.4,Smart TV,HD
S000159,U0006,M099,2024-01-12,89,56.5,Mobile,SD
S000160,U0006,M157,2024-01-18,94,92.2,Mobile,HD
S000161,U0006,M120,2024-03-08,98,94.8,Smart TV,HD
S000162,U0006,M102,2024-07-26,103,70.6,Mobile,SD
S000163,U0006,M042,2024-04-01,84,52.1,Mobile,HD
S000164,U0006,M088,2024-02-03,108,74.5,Mobile,HD
S000165,U0006,M122,2024-07-27,157,100.0,Mobile,SD
S000166,U0006,S039,2024-04-05,51,98.4,Smart TV,HD
S000167,U0006,S004,2024-08-31,49,85.1,Tablet,HD
S000168,U0006,S004,2024-08-19,51,89.2,Mobile,HD
S000169,U0006,M061,2024-08-17,99,100.0,Smart TV,SD
S000170,U0006,M056,2024-05-10,79,90.7,Mobile,SD
S000171,U0006,M061,2024-05-08,98,99.3,Mobile,HD
S000172,U0006,S060,2024-05-09,21,53.1,Smart TV,SD
S000173,U0006,M137,2024-03-18,80,65.2,Smart TV,HD
S000174,U0006,M139,2024-03-21,122,95.2,Desktop,SD
S000175,U0006,S100,2024-04-11,36,92.6,Smart TV,4K
S000176,U0006,S020,2024-05-17,26,73.1,Smart TV,HD
S000177,U0006,S086,2024-08-05,50,88.0,Mobile,HD
S000178,U0006,M178,2024-04-07,169,100.0,Gaming Console,HD
S000179,U0006,M176,2024-07-02,142,87.2,Mobile,SD
S000180,U0006,S091,2024-01-16,26,95.5,Mobile,HD
S000181,U0006,S075,2024-07-16,36,95.1,Tablet,HD
S000182,U0006,M072,2024-02-09,107,86.3,Smart TV,HD
S000183,U0006,M043,2024-03-23,134,100.0,Smart TV,4K
S000184,U0006,M061,2024-07-11,86,87.0,Smart TV,HD
S000185,U0006,M188,2024-08-26,57,50.4,Desktop,HD
S000186,U0006,S055,2024-03-01,50,85.2,Mobile,SD
S000187,U0006,M171,2024-05-24,116,79.6,Mobile,SD
S000188,U0006,M171,2024-06-30,109,75.1,Desktop,HD
S000189,U0006,S078,2024-03-25,23,95.5,Gaming Console,HD
S000190,U0006,M057,2024-08-22,130,87.5,Smart TV,HD
S000191,U0006,M084,2024-01-16,79,56.4,Gaming Console,HD
S000192,U0006,M155,2024-08-07,67,57.9,Smart TV,SD
S000193,U0006,M050,2024-07-21,64,67.4,Desktop,HD
S000194,U0006,M002,2024-05-05,133,91.3,Tablet,4K
S000195,U0006,S019,2024-02-14,33,84.6,Smart TV,HD
S000196,U0006,M179,2024-08-31,175,100.0,Desktop,4K
S000197,U0006,M098,2024-08-02,101,71.6,Smart TV,4K
S000198,U0006,S085,2024-08-14,23,88.9,Mobile,HD
S000199,U0006,M075,2024-07-26,102,82.0,Mobile,SD
S000200,U0006,M071,2024-02-18,102,100.0,Smart TV,HD
S000201,U0006,M127,2024-01-30,149,83.4,Gaming Console,HD
S000202,U0006,M034,2024-08-18,151,100.0,Smart TV,HD
S000203,U0006,M196,2024-07-31,54,53.6,Smart TV,SD
S000204,U0006,S015,2024-03-08,28,95.6,Desktop,HD
S000205,U0006,M063,2024-05-16,101,97.2,Mobile,SD
S000206,U0006,M102,2024-04-06,147,100.0,Smart TV,HD
S000207,U0006,M170,2024-02-24,125,100.0,Mobile,HD
S000208,U0006,M145,2024-02-08,155,93.9,Mobile,HD
S000209,U0006,S002,2024-07-19,19,96.2,Mobile,SD
S000210,U0006,M146,2024-07-29,59,73.1,Smart TV,4K
