date,country,keyword,interest
2020-10-11,MX,Bitcoin,13
2020-10-18,MX,Bitcoin,17
2020-10-25,MX,Bitcoin,17
2020-11-01,MX,Bitcoin,21
2020-11-08,MX,Bitcoin,19
2020-11-15,MX,Bitcoin,26
2020-11-22,MX,Bitcoin,29
2020-11-29,MX,Bitcoin,25
2020-12-06,MX,Bitcoin,22
2020-12-13,MX,Bitcoin,37
2020-12-20,MX,Bitcoin,37
2020-12-27,MX,Bitcoin,54
2021-01-03,MX,Bitcoin,86
2021-01-10,MX,Bitcoin,79
2021-01-17,MX,Bitcoin,49
2021-01-24,MX,Bitcoin,43
2021-01-31,MX,Bitcoin,39
2021-02-07,MX,Bitcoin,72
2021-02-14,MX,Bitcoin,77
2021-02-21,MX,Bitcoin,85
2021-02-28,MX,Bitcoin,49
2021-03-07,MX,Bitcoin,47
2021-03-14,MX,Bitcoin,45
2021-03-21,MX,Bitcoin,45
2021-03-28,MX,Bitcoin,48
2021-04-04,MX,Bitcoin,41
2021-04-11,MX,Bitcoin,41
2021-04-18,MX,Bitcoin,56
2021-04-25,MX,Bitcoin,42
2021-05-02,MX,Bitcoin,36
2021-05-09,MX,Bitcoin,52
2021-05-16,MX,Bitcoin,100
2021-05-23,MX,Bitcoin,67
2021-05-30,MX,Bitcoin,44
2021-06-06,MX,Bitcoin,56
2021-06-13,MX,Bitcoin,45
2021-06-20,MX,Bitcoin,60
2021-06-27,MX,Bitcoin,41
2021-07-04,MX,Bitcoin,36
2021-07-11,MX,Bitcoin,36
2021-07-18,MX,Bitcoin,39
2021-07-25,MX,Bitcoin,45
2021-08-01,MX,Bitcoin,35
2021-08-08,MX,Bitcoin,39
2021-08-15,MX,Bitcoin,37
2021-08-22,MX,Bitcoin,37
2021-08-29,MX,Bitcoin,31
2021-09-05,MX,Bitcoin,44
2021-09-12,MX,Bitcoin,37
2021-09-19,MX,Bitcoin,43
2021-09-26,MX,Bitcoin,33
2021-10-03,MX,Bitcoin,42
2021-10-10,MX,Bitcoin,39
2021-10-17,MX,Bitcoin,46
2021-10-24,MX,Bitcoin,39
2021-10-31,MX,Bitcoin,37
2021-11-07,MX,Bitcoin,41
2021-11-14,MX,Bitcoin,38
2021-11-21,MX,Bitcoin,40
