date,country,keyword,interest
2020-10-11,BR,Bitcoin,9
2020-10-18,BR,Bitcoin,13
2020-10-25,BR,Bitcoin,13
2020-11-01,BR,Bitcoin,16
2020-11-08,BR,Bitcoin,15
2020-11-15,BR,Bitcoin,20
2020-11-22,BR,Bitcoin,24
2020-11-29,BR,Bitcoin,18
2020-12-06,BR,Bitcoin,16
2020-12-13,BR,Bitcoin,22
2020-12-20,BR,Bitcoin,24
2020-12-27,BR,Bitcoin,37
2021-01-03,BR,Bitcoin,64
2021-01-10,BR,Bitcoin,55
2021-01-17,BR,Bitcoin,37
2021-01-24,BR,Bitcoin,35
2021-01-31,BR,Bitcoin,32
2021-02-07,BR,Bitcoin,55
2021-02-14,BR,Bitcoin,50
2021-02-21,BR,Bitcoin,54
2021-02-28,BR,Bitcoin,40
2021-03-07,BR,Bitcoin,47
2021-03-14,BR,Bitcoin,41
2021-03-21,BR,Bitcoin,37
2021-03-28,BR,Bitcoin,38
2021-04-04,BR,Bitcoin,36
2021-04-11,BR,Bitcoin,48
2021-04-18,BR,Bitcoin,60
2021-04-25,BR,Bitcoin,47
2021-05-02,BR,Bitcoin,38
2021-05-09,BR,Bitcoin,47
2021-05-16,BR,Bitcoin,70
2021-05-23,BR,Bitcoin,57
2021-05-30,BR,Bitcoin,43
2021-06-06,BR,Bitcoin,44
2021-06-13,BR,Bitcoin,40
2021-06-20,BR,Bitcoin,47
2021-06-27,BR,Bitcoin,34
2021-07-04,BR,Bitcoin,32
2021-07-11,BR,Bitcoin,31
2021-07-18,BR,Bitcoin,32
2021-07-25,BR,Bitcoin,44
2021-08-01,BR,Bitcoin,34
2021-08-08,BR,Bitcoin,42
2021-08-15,BR,Bitcoin,38
2021-08-22,BR,Bitcoin,37
2021-08-29,BR,Bitcoin,34
2021-09-05,BR,Bitcoin,35
2021-09-12,BR,Bitcoin,28
2021-09-19,BR,Bitcoin,33
2021-09-26,BR,Bitcoin,28
2021-10-03,BR,Bitcoin,33
2021-10-10,BR,Bitcoin,35
2021-10-17,BR,Bitcoin,42
2021-10-24,BR,Bitcoin,32
2021-10-31,BR,Bitcoin,27
2021-11-07,BR,Bitcoin,31
2021-11-14,BR,Bitcoin,30
2021-11-21,BR,Bitcoin,27
2021-11-28,BR,Bitcoin,30
2021-12-05,BR,Bitcoin,35
2021-12-12,BR,Bitcoin,31
2021-12-19,BR,Bitcoin,32
2021-12-26,BR,Bitcoin,30
2022-01-02,BR,Bitcoin,40
2022-01-09,BR,Bitcoin,37
2022-01-16,BR,Bitcoin,38
2022-01-23,BR,Bitcoin,47
2022-01-30,BR,Bitcoin,37
2022-02-06,BR,Bitcoin,36
2022-02-13,BR,Bitcoin,31
2022-02-20,BR,Bitcoin,45
2022-02-27,BR,Bitcoin,43
2022-03-06,BR,Bitcoin,32
2022-03-13,BR,Bitcoin,28
2022-03-20,BR,Bitcoin,28
2022-03-27,BR,Bitcoin,31
2022-04-03,BR,Bitcoin,25
2022-04-10,BR,Bitcoin,26
2022-04-17,BR,Bitcoin,23
2022-04-24,BR,Bitcoin,24
2022-05-01,BR,Bitcoin,24
2022-05-08,BR,Bitcoin,48
2022-05-15,BR,Bitcoin,32
2022-05-22,BR,Bitcoin,28
2022-05-29,BR,Bitcoin,25
2022-06-05,BR,Bitcoin,22
2022-06-12,BR,Bitcoin,54
2022-06-19,BR,Bitcoin,41
2022-06-26,BR,Bitcoin,35
2022-07-03,BR,Bitcoin,31
2022-07-10,BR,Bitcoin,28
2022-07-17,BR,Bitcoin,33
2022-07-24,BR,Bitcoin,28
2022-07-31,BR,Bitcoin,24
2022-08-07,BR,Bitcoin,22
2022-08-14,BR,Bitcoin,22
2022-08-21,BR,Bitcoin,21
2022-08-28,BR,Bitcoin,22
2022-09-04,BR,Bitcoin,20
2022-09-11,BR,Bitcoin,20
2022-09-18,BR,Bitcoin,23
2022-09-25,BR,Bitcoin,17
2022-10-02,BR,Bitcoin,15
2022-10-09,BR,Bitcoin,17
2022-10-16,BR,Bitcoin,16
2022-10-23,BR,Bitcoin,17
2022-10-30,BR,Bitcoin,18
2022-11-06,BR,Bitcoin,30
2022-11-13,BR,Bitcoin,25
2022-11-20,BR,Bitcoin,19
2022-11-27,BR,Bitcoin,16
2022-12-04,BR,Bitcoin,15
2022-12-11,BR,Bitcoin,18
2022-12-18,BR,Bitcoin,18
2022-12-25,BR,Bitcoin,19
2023-01-01,BR,Bitcoin,19
2023-01-08,BR,Bitcoin,23
2023-01-15,BR,Bitcoin,31
