,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2025,MI,FT,Penetration Tester,1336608,INR,15804,IN,0,IN,L
1,2025,MI,CT,Security Engineer,130000,USD,130000,US,0,US,M
2,2025,MI,CT,Security Engineer,120000,USD,120000,US,0,US,M
3,2025,MI,FT,Security Engineer,120000,USD,120000,US,0,US,M
4,2025,MI,FT,Security Engineer,80000,USD,80000,US,0,US,M
5,2025,SE,FT,Security Engineer,125000,USD,125000,US,0,US,M
6,2025,SE,FT,Security Engineer,87989,USD,87989,US,0,US,M
7,2025,MI,FT,Software Engineer,186000,USD,186000,US,0,US,M
8,2025,MI,FT,Software Engineer,124000,USD,124000,US,0,US,M
9,2025,SE,FT,Privacy Engineer,208000,USD,208000,US,0,US,M
10,2025,SE,FT,Privacy Engineer,147000,USD,147000,US,0,US,M
11,2025,SE,FT,Security Analyst,179000,USD,179000,US,0,US,M
12,2025,SE,FT,Security Analyst,112000,USD,112000,US,0,US,M
13,2025,MI,FT,Splunk Administrator,77000,USD,77000,US,0,US,M
14,2025,MI,FT,Splunk Administrator,75000,USD,75000,US,0,US,M
15,2025,MI,CT,Security Engineer,180000,USD,180000,US,100,US,M
16,2025,MI,CT,Security Engineer,140000,USD,140000,US,100,US,M
17,2025,SE,FT,Security Analyst,266800,USD,266800,US,0,US,M
18,2025,SE,FT,Security Analyst,153900,USD,153900,US,0,US,M
19,2025,SE,FT,Security Engineer,350000,USD,350000,US,0,US,M
20,2025,SE,FT,Security Engineer,200000,USD,200000,US,0,US,M
21,2025,MI,FT,Reverse Engineer,165000,USD,165000,US,0,US,M
22,2025,MI,FT,Reverse Engineer,115000,USD,115000,US,0,US,M
23,2025,SE,FT,Security Engineer,350000,USD,350000,US,0,US,M
24,2025,SE,FT,Security Engineer,200000,USD,200000,US,0,US,M
25,2025,SE,FT,Security Engineer,350000,USD,350000,US,0,US,M
26,2025,SE,FT,Security Engineer,200000,USD,200000,US,0,US,M
27,2025,SE,FT,Security Engineer,246000,USD,246000,US,0,US,M
28,2025,SE,FT,Security Engineer,108000,USD,108000,US,0,US,M
29,2025,SE,FT,Security Engineer,207174,USD,207174,US,0,US,M
30,2025,SE,FT,Security Engineer,119813,USD,119813,US,0,US,M
31,2025,SE,FT,Security Engineer,177400,USD,177400,US,0,US,M
32,2025,SE,FT,Security Engineer,106400,USD,106400,US,0,US,M
33,2025,MI,FT,Security Engineer,142200,USD,142200,US,100,US,M
34,2025,MI,FT,Security Engineer,85300,USD,85300,US,100,US,M
35,2025,SE,FT,Security Engineer,251600,USD,251600,US,0,US,M
36,2025,SE,FT,Security Engineer,120100,USD,120100,US,0,US,M
37,2025,SE,FT,Security Engineer,206200,USD,206200,US,0,US,M
38,2025,SE,FT,Security Engineer,133535,USD,133535,US,0,US,M
39,2025,SE,FT,Digital Network Exploitation Analyst,260000,USD,260000,US,0,US,M
40,2025,SE,FT,Digital Network Exploitation Analyst,95000,USD,95000,US,0,US,M
41,2025,MI,FT,Cyber Intelligence Analyst,147600,USD,147600,US,0,US,M
42,2025,MI,FT,Cyber Intelligence Analyst,88600,USD,88600,US,0,US,M
43,2025,SE,FT,Cyber Range Engineer,176600,USD,176600,US,0,US,M
44,2025,SE,FT,Cyber Range Engineer,100900,USD,100900,US,0,US,M
45,2025,SE,FT,Program Manager,229000,USD,229000,US,0,US,M
46,2025,SE,FT,Program Manager,156000,USD,156000,US,0,US,M
47,2025,EN,FT,Program Manager,215400,USD,215400,US,0,US,M
48,2025,EN,FT,Program Manager,100600,USD,100600,US,0,US,M
49,2025,EN,FT,SOC Analyst,155375,USD,155375,US,0,US,M
50,2025,EN,FT,SOC Analyst,93225,USD,93225,US,0,US,M
51,2025,MI,FT,Systems Integration Engineer,186000,USD,186000,US,0,US,M
52,2025,MI,FT,Systems Integration Engineer,124000,USD,124000,US,0,US,M
53,2025,MI,FT,Manager,130000,USD,130000,US,100,US,M
54,2025,MI,FT,Manager,120000,USD,120000,US,100,US,M
55,2025,SE,FT,IT Audit Manager,175400,USD,175400,US,0,US,M
56,2025,SE,FT,IT Audit Manager,120900,USD,120900,US,0,US,M
57,2025,SE,FT,IT Audit Manager,206350,USD,206350,US,0,US,M
