user_id,age,country,subscription_type,registration_date,total_watch_time_hours,registration_month,total_sessions,avg_session_duration,total_session_minutes,avg_completion_rate,high_engagement_rate,weekend_usage_rate,movie_preference_rate,content_variety
U0001,21,Argentina,Basic,2022-10-02,58.0,2022-10,53,76.23,4040,61.91,0.23,0.4,0.75,28
U0002,44,Mexico,Standard,2022-09-30,75.3,2022-09,98,91.33,8950,78.8,0.5,0.19,0.74,47
U0003,20,Argentina,Standard,2023-01-24,360.0,2023-01,36,75.39,2714,73.12,0.53,0.31,0.75,16
U0004,39,Peru,Standard,2022-12-15,513.0,2022-12,44,97.95,4310,87.28,0.64,0.18,0.86,19
U0005,28,Colombia,Basic,2022-05-19,192.8,2022-05,80,87.48,6998,81.17,0.54,0.2,0.69,43
U0006,39,Colombia,Standard,2023-12-20,156.2,2023-12,100,91.07,9107,84.71,0.66,0.29,0.76,48
U0007,18,Colombia,Basic,2023-03-23,428.0,2023-03,92,68.8,6330,63.29,0.3,0.39,0.8,45
U0008,56,Colombia,Standard,2023-01-22,47.8,2023-01,73,78.07,5699,80.54,0.53,0.29,0.71,36
U0009,38,Mexico,Basic,2024-01-20,229.7,2024-01,113,85.35,9645,75.25,0.43,0.2,0.78,51
U0010,20,Colombia,Standard,2022-04-05,444.7,2022-04,56,78.18,4378,73.2,0.38,0.18,0.82,26
U0011,26,Argentina,Premium,2022-01-22,336.6,2022-01,47,83.94,3945,90.06,0.72,0.3,0.57,26
U0012,45,Argentina,Standard,2023-08-11,292.4,2023-08,23,79.17,1821,81.88,0.57,0.3,0.61,14
U0013,48,Argentina,Basic,2022-02-07,386.7,2022-02,62,63.94,3964,68.16,0.24,0.1,0.56,32
U0014,39,Colombia,Basic,2023-06-19,402.7,2023-06,63,74.35,4684,67.79,0.19,0.22,0.7,31
U0015,31,Mexico,Standard,2023-09-16,387.6,2023-09,109,86.09,9384,86.77,0.67,0.32,0.68,51
U0016,54,Mexico,Standard,2022-11-19,17.4,2022-11,81,83.06,6728,75.75,0.36,0.31,0.78,34
U0017,59,Colombia,Standard,2023-06-10,240.7,2023-06,72,84.33,6072,75.13,0.46,0.32,0.78,35
U0018,52,Colombia,Basic,2023-10-16,360.2,2023-10,39,64.51,2516,65.8,0.28,0.36,0.62,20
U0019,56,Colombia,Premium,2023-05-13,477.2,2023-05,143,94.7,13542,86.95,0.65,0.28,0.75,63
U0020,44,Peru,Standard,2023-01-19,311.9,2023-01,78,86.85,6774,78.02,0.49,0.32,0.74,38
U0021,59,Argentina,Basic,2022-07-05,329.1,2022-07,38,82.32,3128,64.53,0.16,0.24,0.89,16
U0022,23,Colombia,Standard,2023-05-14,438.8,2023-05,130,77.12,10026,75.5,0.42,0.27,0.73,58
U0023,28,Chile,Basic,2022-12-09,192.6,2022-12,74,71.69,5305,76.2,0.5,0.36,0.65,39
U0024,43,Colombia,Premium,2022-03-17,728.7,2022-03,159,94.3,14994,87.88,0.69,0.3,0.75,69
U0025,42,Colombia,Standard,2023-08-10,469.9,2023-08,31,66.29,2055,75.87,0.42,0.16,0.52,17
U0026,19,Mexico,Premium,2022-07-13,653.9,2022-07,31,79.26,2457,88.25,0.65,0.06,0.58,19
U0027,58,Argentina,Standard,2023-01-08,17.6,2023-01,92,77.77,7155,77.28,0.37,0.28,0.64,48
U0028,40,Colombia,Basic,2022-08-23,208.8,2022-08,44,77.32,3402,69.02,0.48,0.34,0.89,20
U0029,50,Colombia,Standard,2024-01-12,496.6,2024-01,153,83.65,12799,77.78,0.48,0.29,0.74,64
U0030,21,Chile,Standard,2023-10-17,199.3,2023-10,90,86.74,7807,80.25,0.47,0.27,0.77,44
U0031,49,Argentina,Standard,2024-02-22,382.4,2024-02,157,76.41,11996,72.0,0.38,0.25,0.75,68
U0032,32,Argentina,Standard,2023-07-12,296.5,2023-07,20,95.15,1903,86.49,0.6,0.25,0.75,10
U0033,29,Chile,Basic,2022-06-07,545.7,2022-06,104,82.85,8616,80.44,0.57,0.38,0.68,46
U0034,46,Chile,Basic,2023-01-23,378.3,2023-01,92,67.09,6172,62.89,0.35,0.32,0.72,45
